Test.ID,Valve.ID,Valve.Rev,Fluid,Time.Between.Actuations_hr,Plunger.Age,Coil.Age,Voltage,Seal.Type,Seal.Age,Response.Time_ms
STOT014,T1,Old,E,72,Old,Old,30,A,Old,34.4
STOT014,T1,Old,E,72,Old,Old,30,A,Old,30.6
STOT014,T1,Old,E,72,Old,Old,30,A,Old,29.4
STOT014,T1,Old,E,72,Old,Old,30,A,Old,28
STOT014,T1,Old,E,72,Old,Old,30,A,Old,28.2
STOT014,T1,Old,E,72,Old,Old,30,A,Old,28.4
STOT014,T1,Old,E,72,Old,Old,30,A,Old,28.8
STOT014,T1,Old,E,72,Old,Old,30,A,Old,29.6
STOT014,T1,Old,E,72,Old,Old,30,A,Old,29.2
STOT014,T1,Old,E,72,Old,Old,30,A,Old,26
STOT014,T1,Old,E,72,Old,Old,30,A,Old,29.4
STOT014,T1,Old,E,72,Old,Old,30,A,Old,31
STOT014,T1,Old,E,72,Old,Old,30,A,Old,30
STOT014,T1,Old,E,72,Old,Old,30,A,Old,29.8
STOT014,T1,Old,E,72,Old,Old,30,A,Old,30.4
STOT014,T1,Old,E,72,Old,Old,30,A,Old,31.4
STOT014,T1,Old,E,72,Old,Old,30,A,Old,29.2
STOT014,T1,Old,E,72,Old,Old,30,A,Old,30.8
STOT014,T1,Old,E,72,Old,Old,30,A,Old,31.2
STOT014,T1,Old,E,72,Old,Old,30,A,Old,30.8
STOT014,T1,Old,E,72,Old,Old,30,A,Old,36
STOT014,T1,Old,E,72,Old,Old,30,A,Old,43
STOT014,T1,Old,E,72,Old,Old,30,A,Old,50
STOT014,T1,Old,E,72,Old,Old,30,A,Old,41
STOT014,T1,Old,E,72,Old,Old,30,A,Old,44
STOT014,T1,Old,E,72,Old,Old,30,A,Old,37.2
STOT014,T1,Old,E,72,Old,Old,30,A,Old,37
STOT015,NV011,New,D,96,New,New,30,A,New,9.2
STOT015,NV011,New,D,96,New,New,30,A,New,7.8
STOT015,NV011,New,D,96,New,New,30,A,New,7.6
STOT015,NV011,New,D,96,New,New,30,A,New,7.4
STOT015,NV011,New,D,96,New,New,30,A,New,8.2
STOT015,NV011,New,D,96,New,New,30,A,New,8
STOT015,NV011,New,D,96,New,New,30,A,New,8
STOT015,NV011,New,D,96,New,New,30,A,New,8.6
STOT015,NV011,New,D,96,New,New,30,A,New,8.2
STOT015,NV011,New,D,96,New,New,30,A,New,8
STOT015,NV011,New,D,96,New,New,30,A,New,9
STOT015,NV011,New,D,96,New,New,30,A,New,8
STOT015,NV011,New,D,96,New,New,30,A,New,8.4
STOT015,NV011,New,D,96,New,New,30,A,New,8.4
STOT015,NV011,New,D,96,New,New,30,A,New,8.4
STOT015,NV011,New,D,96,New,New,30,A,New,9.4
STOT015,NV011,New,D,96,New,New,30,A,New,8.6
STOT015,NV011,New,D,96,New,New,30,A,New,8.6
STOT015,NV011,New,D,96,New,New,30,A,New,7
STOT015,NV011,New,D,96,New,New,30,A,New,8.8
STOT015,NV011,New,D,96,New,New,30,A,New,8
STOT015,NV011,New,D,96,New,New,30,A,New,8.4
STOT015,NV011,New,D,96,New,New,30,A,New,8.2
STOT015,NV011,New,D,96,New,New,30,A,New,8.4
STOT015,NV011,New,D,96,New,New,30,A,New,8.4
STOT015,NV011,New,D,96,New,New,30,A,New,9.4
STOT015,NV011,New,D,96,New,New,30,A,New,9
STOT015,NV011,New,D,96,New,New,30,A,New,9
STOT015,NV011,New,D,96,New,New,30,A,New,9
STOT015,NV011,New,D,96,New,New,30,A,New,7.8
STOT016,NV012,New,C,96,New,New,30,A,New,6.2
STOT016,NV012,New,C,96,New,New,30,A,New,6
STOT016,NV012,New,C,96,New,New,30,A,New,6.2
STOT016,NV012,New,C,96,New,New,30,A,New,6.2
STOT016,NV012,New,C,96,New,New,30,A,New,6
STOT016,NV012,New,C,96,New,New,30,A,New,6
STOT016,NV012,New,C,96,New,New,30,A,New,6.6
STOT016,NV012,New,C,96,New,New,30,A,New,6.2
STOT016,NV012,New,C,96,New,New,30,A,New,6.6
STOT016,NV012,New,C,96,New,New,30,A,New,6.2
STOT016,NV012,New,C,96,New,New,30,A,New,6.2
STOT016,NV012,New,C,96,New,New,30,A,New,6.2
STOT016,NV012,New,C,96,New,New,30,A,New,6
STOT016,NV012,New,C,96,New,New,30,A,New,6.2
STOT016,NV012,New,C,96,New,New,30,A,New,5.8
STOT016,NV012,New,C,96,New,New,30,A,New,6.2
STOT016,NV012,New,C,96,New,New,30,A,New,6.2
STOT016,NV012,New,C,96,New,New,30,A,New,6
STOT016,NV012,New,C,96,New,New,30,A,New,6
STOT016,NV012,New,C,96,New,New,30,A,New,5.6
STOT016,NV012,New,C,96,New,New,30,A,New,6.4
STOT016,NV012,New,C,96,New,New,30,A,New,6.2
STOT016,NV012,New,C,96,New,New,30,A,New,6.2
STOT016,NV012,New,C,96,New,New,30,A,New,6.4
STOT016,NV012,New,C,96,New,New,30,A,New,6
STOT016,NV012,New,C,96,New,New,30,A,New,6.2
STOT016,NV012,New,C,96,New,New,30,A,New,5.8
STOT016,NV012,New,C,96,New,New,30,A,New,6.2
STOT016,NV012,New,C,96,New,New,30,A,New,6.4
STOT016,NV012,New,C,96,New,New,30,A,New,11.6
STOT017,NV013,New,F,96,New,New,30,A,New,6.6
STOT017,NV013,New,F,96,New,New,30,A,New,5.2
STOT017,NV013,New,F,96,New,New,30,A,New,10
STOT017,NV013,New,F,96,New,New,30,A,New,5.2
STOT017,NV013,New,F,96,New,New,30,A,New,6
STOT017,NV013,New,F,96,New,New,30,A,New,4.4
STOT017,NV013,New,F,96,New,New,30,A,New,5.6
STOT017,NV013,New,F,96,New,New,30,A,New,4
STOT017,NV013,New,F,96,New,New,30,A,New,6.4
STOT017,NV013,New,F,96,New,New,30,A,New,4.8
STOT017,NV013,New,F,96,New,New,30,A,New,5.8
STOT017,NV013,New,F,96,New,New,30,A,New,5.8
STOT017,NV013,New,F,96,New,New,30,A,New,6.4
STOT017,NV013,New,F,96,New,New,30,A,New,4.8
STOT017,NV013,New,F,96,New,New,30,A,New,7.4
STOT017,NV013,New,F,96,New,New,30,A,New,4
STOT017,NV013,New,F,96,New,New,30,A,New,4.8
STOT017,NV013,New,F,96,New,New,30,A,New,7
STOT017,NV013,New,F,96,New,New,30,A,New,5.6
STOT017,NV013,New,F,96,New,New,30,A,New,6.4
STOT017,NV013,New,F,96,New,New,30,A,New,6
STOT017,NV013,New,F,96,New,New,30,A,New,6
STOT017,NV013,New,F,96,New,New,30,A,New,5.2
